Date	DJIndex
12/31/1981	875
12/31/1982	1046.54
12/30/1983	1258.64
12/31/1984	1211.57
12/31/1985	1546.67
12/31/1986	1895.95
12/31/1987	1938.83
12/30/1988	2168.57
12/29/1989	2753.2
12/31/1990	2633.66
12/31/1991	3168.83
12/31/1992	3301.11
12/31/1993	3754.09
12/31/1994	3834.44
12/30/1995	5117.12
12/31/1996	6448.26
12/31/1997	7908.24
12/31/1998	9181.43
12/31/1999	11497.12
12/31/2000	10786.85
12/31/2001	10021.5
12/31/2002	8341.63
12/31/2003	10453.92
12/31/2004	10783.01
12/31/2005	10717.5
12/31/2006	12463.15
12/31/2007	13264.82
12/31/2008	8776.39
12/31/2009	10428.05
12/31/2010	11577.51
12/31/2011	12217.56
12/31/2012	13104.14
12/31/2013	16576.66
12/31/2014	17823.07
12/31/2015	17425.03
12/30/2016	19762.6
12/29/2017	24719.22
