hunter	age	monkeys	days
 1     67       0        3
 2     66       0       89
 3     63      29      106
 4     60       2        4
 5     61       0       28
 6     59       2       73
 7     58       3        7
 8     57       0       13
 9     56       0        4
10     56       3      104
11     55      27      126
12     54       0       63
13     51       7       88
14     50       0        7
15     48       3        3
16     49       0       56
17     47       6       70
18     42       1       18
19     39       0        4
20     40       7       83
21     40       4       15
22     39       1       19
23     37       2       29
24     35       2       48
25     35       0       35
26     33       0       10
27     33      19       75
28     32       9       63
29     32       0       16
30     31       0       13
31     30       0       20
32     30       2       26
33     28       0        4
34     27       0       13
35     25       0       10
36     22       0       16
37     22       0       33
38     21       0        7
39     20       0       33
40     18       0        8
41     17       0        3
42     17       0       13
43     17       0        3
44     56       0       62
45     62       1        4
46     59       1        4
47     20       0       11
